Epoch 1/30, MSE=0.002020
Epoch 2/30, MSE=0.001644
Epoch 3/30, MSE=0.001596
Epoch 4/30, MSE=0.001438
Epoch 5/30, MSE=0.001658
Epoch 6/30, MSE=0.001505
Epoch 7/30, MSE=0.001585
Epoch 8/30, MSE=0.001553
Epoch 9/30, MSE=0.001593
Epoch 10/30, MSE=0.001481
Epoch 11/30, MSE=0.001475
Epoch 12/30, MSE=0.001406
Epoch 13/30, MSE=0.001609
Epoch 14/30, MSE=0.001508
Epoch 15/30, MSE=0.001516
Epoch 16/30, MSE=0.001426
Epoch 17/30, MSE=0.001431
Epoch 18/30, MSE=0.001508
Epoch 19/30, MSE=0.001455
Epoch 20/30, MSE=0.001425
Epoch 21/30, MSE=0.001461
Epoch 22/30, MSE=0.001336
Epoch 23/30, MSE=0.001284
Epoch 24/30, MSE=0.001272
Epoch 25/30, MSE=0.001409
Epoch 26/30, MSE=0.001359
Epoch 27/30, MSE=0.001356
Epoch 28/30, MSE=0.001358
Epoch 29/30, MSE=0.001326
Epoch 30/30, MSE=0.001413
